Continent_Name,Year,GDP,CO2 Emission,Temperature Change
Africa,1993,544918729129.3001,45.573268859,0.49116219486532
Africa,1994,496854189450.40295,46.100413056,0.45816219486531984
Africa,1995,555973900303.0721,46.681406048000014,0.6781621948653199
Africa,1996,587639961088.9215,48.13142024899999,0.5614662037037038
Africa,1997,613242935814.0217,50.195388029,0.6258664230019494
Africa,1998,607770511213.802,51.742667176999994,1.0259120370370372
Africa,1999,628124520389.9626,52.611086885999995,0.6508722643097645
Africa,2000,664878035521.5128,53.930692614,0.5316135456577268
Africa,2001,640757366690.3617,56.38784030500001,0.6850162037037039
Africa,2002,655555183692.288,56.965579839,0.8900995370370371
Africa,2003,785645763108.0532,59.213010553000025,0.98293287037037
Africa,2004,945341248194.8373,65.272822185,0.8132453703703703
Africa,2005,1112517126481.7014,67.354977704,1.0461847643097644
Africa,2006,1302678139684.3838,68.534144075,0.8657889309764308
Africa,2007,1516309103676.2102,65.210437057,0.8777870370370368
Africa,2008,1779023952463.222,68.333529285,0.7793078703703703
Africa,2009,1688937075616.5383,66.479990968,0.950247264309764
Africa,2010,1977442621281.014,66.42605624199999,1.3509555976430974
Africa,2011,2173848650466.641,63.21902367099997,0.9662708333333333
Africa,2012,2343737180791.8027,67.21407593400004,0.8023664772727274
Africa,2013,2455675239777.2,66.478105899,0.9736060606060608
Africa,2014,2525140255525.4062,66.81438226899999,0.9751685606060604
Africa,2015,2321937283235.0312,64.934572967,1.212960227272727
Africa,2016,2212581106950.867,63.211055824000006,1.381439393939394
Africa,2017,2241767250410.9375,64.133491156,1.281668560606061
Africa,2018,2363054252909.402,65.408777303,1.0742102272727274
Africa,2019,2460795041209.4893,49.53774540386295,1.4098768939393942
Africa,2020,2377588288845.704,49.53774540386295,0.5464008000876189
Asia,1960,2512228405556.957,123.70234908668307,0.538096557987769
Asia,1961,2509222234912.6353,135.6939505366831,0.1746058773256196
Asia,1962,2451905367094.4224,147.4089300656831,0.38607665505226485
Asia,1963,2476068256763.6963,245.54697829768304,0.39677660903293654
Asia,1964,2509005741471.691,249.8612662269922,0.022971730984156176
Asia,1965,2512250998450.1953,258.7438475669922,0.11838636513049762
Asia,1966,2527289599498.4844,245.34764842299217,0.5338815331010452
Asia,1967,2257442051115.5557,233.14634935099218,-0.08750871080139376
Asia,1968,1968192394630.6467,229.37819263699214,0.0030034843205574715
Asia,1969,2020060607850.8438,328.66141387299217,0.3688571428571428
Asia,1970,2183122399059.3198,361.5436169882779,0.4152888041548878
Asia,1971,2233061880214.6743,382.0329795800487,0.06589856025244888
Asia,1972,2343113930604.1665,398.8613840660486,0.014662020905923326
Asia,1973,2537755849490.223,419.1292701900486,0.3079547038327526
